feature,irm_importance,erm_importance,type
tb_cases,0.058587234,0.04239795,Causal_feature
state_burden_rank,0.042074718,0.04737224,Causal_feature
log_tb_cases,0.018429764,0.020218957,Causal_feature
GNN_emb_30,0.016799204,0.028163888,GNN_embedding
GNN_emb_10,0.013935364,0.0261441,GNN_embedding
GNN_emb_11,0.012945443,0.029328546,GNN_embedding
GNN_emb_8,0.011708225,0.011262042,GNN_embedding
GNN_emb_22,0.010119617,0.004699992,GNN_embedding
GNN_emb_13,0.009505792,0.0035335582,GNN_embedding
GNN_emb_5,0.0075920927,0.00371766,GNN_embedding
e_inc_100k,0.007008061,0.011344329,Causal_feature
GNN_emb_32,0.0063066757,0.006038451,GNN_embedding
GNN_emb_18,0.005940954,0.0028089455,GNN_embedding
GNN_emb_27,0.005928887,0.007416225,GNN_embedding
GNN_emb_9,0.0057155755,0.005888725,GNN_embedding
GNN_emb_4,0.005644984,0.009613394,GNN_embedding
GNN_emb_21,0.0053078625,0.010163962,GNN_embedding
GNN_emb_2,0.0045444407,0.003240679,GNN_embedding
GNN_emb_15,0.0044801864,0.007436597,GNN_embedding
GNN_emb_1,0.0043762606,0.0025853703,GNN_embedding
GNN_emb_25,0.0029976172,0.0069542048,GNN_embedding
GNN_emb_28,0.002837023,0.00034529914,GNN_embedding
GNN_emb_20,0.0021687695,0.005030472,GNN_embedding
GNN_emb_17,0.0021594903,0.0035896264,GNN_embedding
GNN_emb_3,0.0021243258,0.0076473122,GNN_embedding
GNN_emb_14,0.0020700989,0.0024003026,GNN_embedding
GNN_emb_24,0.002067914,0.0015935055,GNN_embedding
GNN_emb_29,0.0020528769,0.0019600438,GNN_embedding
GNN_emb_7,0.0017823712,0.002621076,GNN_embedding
GNN_emb_23,0.0016708827,0.0035413322,GNN_embedding
GNN_emb_16,0.0010535315,0.0058152694,GNN_embedding
GNN_emb_26,0.0006408672,0.0016137719,GNN_embedding
GNN_emb_6,0.00019933781,2.0981786e-06,GNN_embedding
GNN_emb_12,9.358365e-05,2.1982787e-05,GNN_embedding
GNN_emb_19,9.1631446e-05,1.6666896e-06,GNN_embedding
GNN_emb_31,2.5476216e-05,5.891655e-06,GNN_embedding
